title_char_count,title_word_count
67,8
121,14
64,7
72,7
104,10
60,7
92,12
63,8
84,11
95,10
54,7
61,7
77,9
74,9
70,8
56,7
59,8
84,11
70,9
66,8
61,10
117,13
60,7
90,9
70,9
62,9
63,7
64,9
61,8
50,6
49,7
96,12
97,13
56,6
69,9
73,7
64,8
62,8
73,9
90,11
90,10
77,9
76,11
82,10
69,8
92,10
95,12
90,11
64,7
73,9
88,10
65,7
126,13
50,6
65,9
66,9
88,6
61,7
59,8
79,10
140,13
55,7
77,11
95,10
61,9
88,11
49,6
58,8
84,9
53,8
56,8
49,8
103,12
51,7
57,7
77,9
71,8
74,9
59,7
97,10
55,11
73,8
46,6
61,6
99,10
98,12
68,8
104,12
64,9
68,8
61,8
66,10
54,6
94,11
87,13
143,16
64,7
64,8
77,8
104,12
67,8
88,12
61,7
72,9
64,8
79,7
94,11
94,11
67,8
94,12
78,11
81,8
98,12
43,5
68,10
61,8
88,11
68,9
81,11
57,9
81,10
94,10
142,14
67,8
50,7
92,13
54,10
70,10
100,11
70,9
70,9
166,21
63,7
62,8
48,8
160,17
67,7
93,10
76,9
56,7
82,9
74,9
50,7
46,6
47,6
53,8
122,13
54,7
64,9
134,17
54,8
96,11
73,9
82,12
73,10
117,14
87,12
90,12
72,10
76,8
123,12
132,16
61,8
65,8
93,11
90,11
147,16
90,8
139,15
61,7
80,9
138,18
63,6
175,19
91,11
55,8
61,6
70,9
72,9
76,10
81,10
74,10
94,11
119,13
47,7
80,10
96,11
100,11
115,15
72,8
60,7
71,8
159,18
56,7
65,7
81,10
129,14
178,24
85,12
56,7
77,8
100,12
114,12
55,7
95,11
58,7
66,8
70,10
61,7
73,10
71,9
66,7
55,7
104,13
96,9
100,12
72,8
56,8
58,7
79,9
83,10
62,8
61,8
89,11
66,9
66,9
64,7
65,7
109,14
90,11
103,12
79,8
83,10
74,8
60,6
86,11
83,9
102,12
66,9
157,20
72,10
68,8
64,8
71,7
93,10
51,6
75,10
57,7
66,8
91,11
99,11
80,10
86,9
71,8
159,17
76,11
83,10
143,17
122,12
60,9
74,10
98,11
75,10
61,7
138,15
73,8
57,8
61,8
146,17
49,7
87,10
101,11
90,12
96,13
150,14
132,17
58,8
106,13
109,13
141,16
62,7
77,9
65,9
78,10
115,14
72,8
103,14
64,8
66,8
83,7
71,7
48,6
51,7
106,13
74,10
70,8
64,8
132,16
109,12
66,7
76,8
82,9
94,11
57,8
64,7
60,7
80,8
82,10
69,8
69,8
64,8
78,8
78,9
73,10
78,9
65,9
65,8
66,8
64,8
63,8
159,18
111,12
78,8
90,9
66,8
147,16
139,14
51,7
63,7
82,8
58,6
83,10
83,12
35,5
63,9
64,7
71,11
74,8
104,11
54,6
87,9
60,8
65,7
139,17
64,9
93,12
71,7
50,7
44,7
82,10
76,7
128,17
134,15
111,13
104,14
75,8
70,8
75,10
58,8
69,9
72,7
60,6
63,7
88,11
132,17
96,11
99,12
62,7
106,17
64,8
67,8
62,9
72,8
75,9
79,11
57,7
72,9
65,9
145,17
77,10
87,10
76,10
72,9
59,7
50,6
79,10
63,8
83,9
76,9
72,7
140,16
90,10
133,15
83,10
79,10
53,7
63,9
96,10
83,10
93,11
64,8
77,8
94,9
67,7
66,9
63,8
74,9
72,8
65,7
71,9
58,7
71,8
74,7
69,7
67,9
56,6
70,8
89,11
91,11
73,8
102,12
64,7
69,8
65,8
136,11
81,11
44,6
80,10
114,14
108,12
111,13
61,9
96,11
90,12
92,11
69,8
103,10
71,8
155,15
95,12
77,9
54,6
149,16
66,7
88,11
67,7
86,11
76,11
68,9
80,10
66,7
64,9
72,8
65,7
71,10
142,18
62,9
94,11
41,4
78,11
56,7
87,12
57,7
131,17
88,11
74,8
81,9
74,8
61,9
54,7
89,11
67,8
130,16
79,11
143,16
63,7
108,12
150,18
94,11
81,9
62,9
102,11
61,8
60,6
66,10
97,15
135,17
38,5
67,9
88,9
61,6
67,9
83,9
96,11
45,6
84,8
107,11
208,24
82,10
86,11
108,12
70,8
82,9
62,7
67,8
112,12
81,10
65,6
89,9
102,13
74,9
73,9
66,8
151,16
55,7
66,8
73,10
81,10
87,9
63,9
71,9
60,9
60,8
59,9
85,10
75,8
81,9
69,9
89,10
79,8
64,10
61,9
65,8
89,12
61,8
82,8
65,9
63,8
108,12
53,6
88,7
89,11
78,9
102,13
69,9
99,12
74,8
86,12
65,8
42,4
119,14
97,11
68,9
82,10
66,9
61,6
90,9
64,10
67,10
98,12
54,6
113,14
94,11
83,8
51,7
43,5
102,12
50,5
78,9
95,11
39,7
147,13
80,9
152,20
68,7
62,9
61,8
66,9
72,8
51,6
57,10
87,9
128,14
71,10
66,7
83,8
111,11
91,12
65,8
62,7
117,15
74,8
67,8
67,8
66,6
90,11
70,10
75,9
62,9
61,11
68,10
66,7
50,7
63,6
93,10
66,8
93,10
63,9
68,9
66,9
90,11
63,9
66,10
93,12
115,13
65,9
79,11
58,7
147,14
84,9
61,7
101,12
50,7
87,9
119,14
76,8
70,8
88,9
55,8
65,8
60,7
84,10
63,8
72,7
125,15
55,5
49,6
75,10
94,11
50,6
58,8
92,10
85,9
91,13
89,10
73,10
59,6
56,7
62,7
83,12
45,7
71,9
79,11
72,7
61,7
59,7
57,7
60,8
97,10
61,7
62,7
103,13
68,9
64,9
81,11
71,6
98,11
85,7
106,14
67,9
146,17
83,11
73,10
52,9
77,8
80,10
67,10
131,14
46,6
75,7
91,12
94,11
73,9
134,12
78,9
82,8
84,8
123,12
129,14
65,8
98,11
121,14
60,7
60,7
96,11
48,5
70,7
66,8
54,7
68,8
64,8
57,6
95,10
77,9
77,11
105,12
97,12
83,7
50,6
62,8
84,10
34,4
61,8
62,8
57,8
51,6
91,11
41,7
65,8
58,6
58,5
53,6
55,7
53,8
61,8
101,11
63,9
91,12
60,9
87,7
88,9
82,9
81,9
95,12
84,11
68,7
135,16
85,10
68,9
77,10
61,8
75,9
51,7
55,7
56,6
65,9
159,16
74,9
89,10
71,9
60,6
94,10
69,8
103,12
72,7
94,10
76,10
73,8
56,6
61,7
90,10
88,11
71,7
75,9
121,14
49,7
214,23
81,10
52,8
97,11
60,7
91,9
161,22
79,9
63,8
66,7
109,10
90,11
65,8
43,6
72,9
64,8
128,13
101,11
60,7
86,11
91,12
86,9
55,8
89,9
70,10
72,7
64,7
65,8
74,8
85,11
52,6
49,6
72,9
67,8
66,7
59,8
103,12
66,11
79,9
81,11
103,15
137,16
63,7
66,8
93,11
104,13
161,18
70,10
93,11
72,10
76,9
81,9
95,12
85,11
92,12
95,11
57,6
92,10
100,10
65,9
49,7
82,9
92,11
76,9
82,10
64,8
40,5
57,5
66,9
63,10
74,10
105,11
67,8
79,9
67,8
59,8
65,7
61,7
86,9
94,13
55,8
57,8
57,7
61,8
64,7
124,14
113,12
83,11
62,8
59,8
70,9
78,12
88,11
62,7
63,9
63,8
47,5
61,7
73,9
153,18
106,12
55,6
57,6
55,7
53,6
59,7
67,9
69,9
107,11
95,11
130,11
61,8
95,12
155,13
131,15
53,6
89,10
69,8
124,14
69,9
77,8
84,10
72,8
120,13
81,10
64,9
140,14
76,7
60,8
62,8
65,9
128,14
57,10
66,8
79,10
58,8
64,7
57,7
161,17
85,10
79,8
47,7
86,12
92,11
55,6
71,10
63,7
102,12
65,9
81,10
75,9
73,11
85,8
101,13
94,11
67,9
49,7
65,8
53,7
120,14
71,10
87,11
85,11
79,10
69,6
86,10
76,10
91,11
97,13
74,11
50,7
62,9
82,7
69,6
57,7
84,11
75,11
61,8
78,9
126,17
68,9
78,10
68,8
54,7
104,11
90,9
57,7
68,8
104,13
81,10
129,15
84,10
60,8
61,9
75,9
57,10
48,8
72,8
64,8
64,8
70,8
82,11
91,9
56,7
80,11
72,9
148,16
80,8
79,10
108,11
68,9
112,14
182,23
67,7
86,10
68,8
65,7
65,8
54,8
74,11
64,8
61,7
83,8
101,9
70,9
93,10
93,11
63,9
59,9
54,6
62,6
79,10
82,9
133,14
67,7
72,8
68,8
60,8
75,8
69,11
117,13
76,11
92,10
55,7
67,9
83,11
57,7
75,9
66,7
68,8
60,9
61,7
112,12
86,10
79,10
58,8
55,8
62,9
110,13
65,8
86,9
69,8
60,7
120,14
113,14
91,8
55,6
79,7
97,11
73,9
73,9
85,11
119,14
61,7
85,9
75,10
63,7
67,6
71,7
77,10
105,9
55,8
69,9
53,10
63,8
74,9
90,11
98,8
65,8
75,8
80,11
94,12
76,11
63,9
71,9
163,19
84,8
105,13
50,7
109,11
84,8
53,6
61,8
54,6
138,16
80,9
107,13
75,10
67,7
80,9
95,11
131,15
126,14
57,7
72,7
64,7
66,10
64,9
62,7
38,9
89,11
58,6
94,11
65,10
70,11
99,14
68,8
87,10
98,12
66,8
61,8
65,7
72,10
64,8
61,9
63,8
141,17
60,7
52,6
115,15
77,9
64,7
55,5
105,13
85,10
70,8
73,8
110,13
63,8
87,10
86,11
76,9
57,8
91,11
91,9
89,11
59,8
62,8
84,11
119,16
114,13
60,7
81,9
65,8
60,7
72,9
68,8
109,16
60,9
55,7
81,10
126,15
73,7
65,9
69,9
78,10
103,14
49,8
59,9
80,11
59,7
63,9
59,9
86,11
88,11
65,8
66,7
89,13
65,8
69,9
67,10
130,14
57,8
49,7
52,7
77,9
109,11
39,5
100,11
94,10
57,8
75,9
74,9
72,8
74,10
51,6
166,19
140,15
58,7
93,10
62,9
104,13
95,12
67,8
64,10
125,11
59,7
70,8
93,10
89,8
66,9
112,10
76,12
69,8
53,7
61,7
59,8
91,9
101,8
132,16
85,9
61,7
94,10
64,6
86,10
78,9
98,9
86,10
71,8
112,15
73,9
57,8
66,1
64,8
92,9
70,9
77,11
105,11
81,10
92,9
74,9
65,8
161,20
60,6
94,11
109,10
61,7
95,10
64,7
53,6
62,9
61,7
76,9
55,7
108,13
51,6
135,16
73,10
152,14
68,8
66,9
50,6
104,13
68,9
116,13
76,11
48,5
65,9
63,7
99,10
107,11
67,8
63,8
65,9
102,15
66,9
66,8
58,8
82,8
108,12
58,8
61,7
136,17
84,10
66,7
61,9
76,9
55,7
65,6
78,10
119,13
68,8
78,8
220,23
80,11
157,17
70,9
61,6
88,12
129,12
64,9
94,10
73,9
84,10
157,16
98,12
84,10
78,10
69,10
120,14
84,10
51,7
57,6
65,7
56,7
173,21
74,10
75,10
146,18
55,5
82,10
64,7
181,19
119,14
121,10
53,7
84,10
66,9
79,9
152,14
127,17
92,13
52,8
63,8
78,10
92,8
86,11
46,5
93,12
62,9
83,11
86,10
102,11
108,14
68,9
55,7
50,6
63,6
111,10
102,13
52,6
85,10
72,9
64,8
141,16
66,10
96,12
119,15
80,9
64,7
73,8
61,7
80,10
83,11
64,9
79,10
87,9
