id,neg,neu,pos,compound
2619,0.109,0.789,0.102,-0.5574
16043,0.095,0.832,0.073,-0.9197
876,0.052,0.859,0.089,0.9826
19963,0.022,0.884,0.094,0.9335
10783,0.077,0.836,0.087,0.4559
18522,0.111,0.845,0.044,-0.5106
270,0.085,0.812,0.103,0.9544
7628,0.073,0.819,0.108,0.4767
9599,0.109,0.842,0.05,-0.9611
11234,0.121,0.783,0.096,-0.8481
8071,0.1,0.805,0.095,0.1027
6921,0.026,0.875,0.099,0.9666
14878,0.071,0.821,0.108,0.9572
1560,0.054,0.875,0.072,0.8867
13064,0.078,0.841,0.081,0.0516
15262,0.08,0.854,0.065,-0.8412
6587,0.07,0.827,0.103,0.9714
11084,0.079,0.735,0.186,0.7964
20663,0.031,0.872,0.097,0.9786
13705,0.09,0.861,0.05,-0.4692
20185,0.145,0.826,0.029,-0.9331
20770,0.059,0.842,0.099,0.9799
20860,0.025,0.836,0.139,0.9977
5327,0.021,0.826,0.153,0.997
12539,0.069,0.852,0.079,0.1459
10731,0.123,0.825,0.052,-0.9823
23108,0.053,0.799,0.148,0.9547
16911,0.059,0.885,0.056,-0.3626
16473,0.364,0.481,0.155,-0.7263
7277,0.029,0.884,0.087,0.9906
12525,0.071,0.809,0.121,0.9877
436,0.077,0.795,0.128,0.9754
4331,0.131,0.745,0.124,-0.5621
2559,0.039,0.902,0.059,0.5705
3446,0.038,0.844,0.118,0.9847
6944,0.047,0.953,0.0,-0.4939
9640,0.094,0.786,0.12,0.9296
8326,0.044,0.802,0.155,0.7845
10290,0.173,0.782,0.045,-0.9962
6912,0.055,0.857,0.088,0.9264
14176,0.043,0.85,0.107,0.9637
4159,0.146,0.79,0.064,-0.993
15094,0.101,0.778,0.121,0.8642
5522,0.139,0.836,0.025,-0.9186
4409,0.125,0.722,0.153,0.9334
12068,0.0,1.0,0.0,0.0
11158,0.038,0.906,0.056,0.7406
7212,0.0,0.727,0.273,0.9723
21195,0.126,0.821,0.053,-0.918
3938,0.019,0.933,0.049,0.4939
8626,0.069,0.871,0.06,-0.8542
6747,0.07,0.802,0.128,0.9935
18375,0.116,0.832,0.052,-0.9379
7990,0.074,0.86,0.067,0.3894
15124,0.0,0.854,0.146,0.9699
6449,0.0,0.948,0.052,0.5719
8843,0.097,0.832,0.071,-0.9274
20691,0.153,0.814,0.033,-0.9891
13340,0.15,0.814,0.037,-0.9873
7556,0.145,0.776,0.079,-0.9606
19125,0.151,0.76,0.089,-0.9803
6604,0.053,0.865,0.082,0.4767
14370,0.025,0.91,0.065,0.6486
3060,0.063,0.821,0.115,0.9876
4034,0.052,0.874,0.074,0.5432
1686,0.119,0.776,0.105,-0.9203
2241,0.1,0.844,0.056,-0.8771
12177,0.156,0.699,0.145,-0.6866
1171,0.09,0.833,0.077,-0.9271
14427,0.083,0.846,0.071,-0.5859
3349,0.061,0.829,0.11,0.9911
17512,0.082,0.827,0.091,0.8585
3674,0.106,0.754,0.14,0.9633
11298,0.07,0.839,0.091,0.9011
13544,0.088,0.836,0.076,-0.4404
17488,0.066,0.82,0.114,0.9884
17076,0.043,0.853,0.104,0.9956
6937,0.05,0.849,0.1,0.9882
10873,0.077,0.844,0.079,-0.4321
21297,0.168,0.775,0.057,-0.99
22799,0.082,0.842,0.077,0.1439
1061,0.064,0.869,0.066,-0.2748
2990,0.06,0.801,0.139,0.9445
6348,0.069,0.88,0.051,-0.3237
19441,0.086,0.862,0.052,-0.9512
20549,0.105,0.793,0.102,-0.6058
21402,0.022,0.806,0.173,0.9986
11546,0.055,0.815,0.13,0.8979
17006,0.067,0.752,0.181,0.9382
2675,0.071,0.862,0.066,-0.7466
2447,0.041,0.931,0.029,-0.25
698,0.0,0.775,0.225,0.9451
18296,0.106,0.745,0.149,0.9953
1276,0.221,0.718,0.062,-0.9989
2913,0.145,0.796,0.059,-0.9965
19443,0.101,0.834,0.065,-0.9026
5927,0.092,0.804,0.104,0.8316
6407,0.098,0.728,0.174,0.9899
7922,0.131,0.827,0.042,-0.9871
2884,0.114,0.822,0.064,-0.9915
15505,0.097,0.771,0.132,0.5719
5610,0.068,0.814,0.117,0.9544
7599,0.157,0.752,0.09,-0.9975
6369,0.057,0.837,0.105,0.9858
13095,0.25,0.693,0.056,-0.999
22850,0.114,0.741,0.145,0.9955
21512,0.1,0.829,0.07,-0.9411
3019,0.092,0.776,0.132,0.9655
11525,0.077,0.824,0.099,0.4215
8129,0.083,0.784,0.133,0.9635
8096,0.047,0.829,0.125,0.9524
10157,0.161,0.755,0.084,-0.96
5193,0.118,0.82,0.062,-0.9847
6515,0.064,0.867,0.069,0.9502
3454,0.083,0.76,0.157,0.9985
1755,0.048,0.928,0.024,-0.8807
8920,0.151,0.787,0.062,-0.9965
2746,0.051,0.77,0.179,0.7675
3690,0.102,0.804,0.094,0.3181
6011,0.037,0.9,0.062,0.8291
2010,0.023,0.901,0.075,0.8076
7293,0.032,0.803,0.165,0.9877
16022,0.086,0.876,0.038,-0.8758
20444,0.172,0.828,0.0,-0.633
10410,0.061,0.837,0.102,0.9933
4217,0.141,0.78,0.079,-0.9787
22501,0.05,0.864,0.086,0.8177
13067,0.112,0.839,0.049,-0.9849
22352,0.132,0.737,0.131,-0.9249
3462,0.076,0.761,0.163,0.9843
8907,0.0,0.971,0.029,0.3818
21025,0.053,0.803,0.145,0.9847
20869,0.183,0.785,0.033,-0.9821
77,0.059,0.857,0.084,0.9571
22463,0.069,0.83,0.101,0.7905
20984,0.061,0.841,0.098,0.9949
3907,0.104,0.805,0.091,-0.8206
502,0.066,0.843,0.091,0.8558
2892,0.137,0.756,0.107,-0.9603
9470,0.0,0.935,0.065,0.4404
10212,0.022,0.906,0.071,0.8481
2131,0.166,0.799,0.034,-0.9953
15178,0.016,0.801,0.182,0.9877
6500,0.053,0.902,0.045,-0.9376
22818,0.091,0.814,0.096,-0.2929
12998,0.135,0.819,0.046,-0.9709
17844,0.069,0.875,0.055,-0.7786
21345,0.062,0.874,0.064,0.373
3058,0.0,0.899,0.101,0.7845
16458,0.064,0.847,0.089,0.7414
13591,0.131,0.776,0.093,-0.8779
21645,0.23,0.592,0.178,-0.2003
5734,0.119,0.721,0.16,0.9838
11886,0.008,0.913,0.079,0.8743
8282,0.099,0.817,0.084,-0.5267
9381,0.114,0.851,0.035,-0.9884
20297,0.193,0.698,0.109,-0.9902
11205,0.106,0.723,0.171,0.9591
13410,0.071,0.774,0.155,0.4019
1072,0.032,0.885,0.083,0.9472
19007,0.061,0.889,0.05,-0.0874
9911,0.112,0.879,0.009,-0.9686
18970,0.035,0.884,0.08,0.9576
17820,0.009,0.875,0.117,0.9858
3425,0.114,0.795,0.091,-0.9623
9638,0.089,0.863,0.048,-0.9888
18527,0.182,0.773,0.044,-0.9961
2285,0.109,0.824,0.067,-0.9509
19182,0.049,0.87,0.081,0.339
8140,0.042,0.884,0.074,0.9297
5832,0.164,0.752,0.084,-0.9934
11745,0.019,0.944,0.037,0.7643
13481,0.0,0.88,0.12,0.6249
9362,0.126,0.796,0.078,-0.9934
21891,0.107,0.836,0.056,-0.9136
15473,0.123,0.793,0.084,-0.996
20321,0.109,0.869,0.021,-0.9719
15609,0.134,0.851,0.015,-0.9924
9314,0.017,0.929,0.054,0.7935
12399,0.133,0.801,0.066,-0.9506
18490,0.116,0.8,0.084,-0.8349
16884,0.109,0.792,0.1,-0.1154
8385,0.083,0.771,0.146,0.9609
20665,0.019,0.926,0.055,0.8704
9942,0.105,0.823,0.071,-0.8892
22215,0.075,0.867,0.057,-0.8743
15024,0.042,0.849,0.109,0.9963
7174,0.06,0.838,0.102,0.9746
19328,0.084,0.894,0.021,-0.9948
5176,0.119,0.815,0.066,-0.9575
12915,0.105,0.857,0.039,-0.9739
9906,0.011,0.847,0.142,0.9928
19070,0.078,0.851,0.071,-0.5546
19060,0.096,0.844,0.06,-0.9818
1860,0.059,0.829,0.111,0.9886
15095,0.183,0.777,0.04,-0.7717
17875,0.048,0.898,0.054,0.8228
17856,0.092,0.825,0.083,-0.6395
3557,0.142,0.78,0.078,-0.9906
6314,0.064,0.833,0.103,0.9826
6997,0.119,0.837,0.045,-0.9852
8516,0.053,0.846,0.102,0.9801
18979,0.07,0.828,0.102,0.9749
4318,0.074,0.822,0.104,0.9464
204,0.03,0.874,0.097,0.992
14552,0.119,0.801,0.08,-0.34
4391,0.149,0.773,0.077,-0.9886
14212,0.069,0.856,0.075,0.3003
8054,0.052,0.881,0.067,0.3535
12018,0.107,0.753,0.14,0.9705
17063,0.0,0.972,0.028,0.3291
5964,0.102,0.841,0.057,-0.9585
23034,0.068,0.852,0.08,0.4378
18778,0.189,0.726,0.085,-0.9988
