id,neg,neu,pos,compound
2619,0.0,1.0,0.0,0.0
16043,0.395,0.605,0.0,-0.8866
876,0.0,1.0,0.0,0.0
19963,0.0,0.658,0.342,0.481
10783,0.227,0.773,0.0,-0.5473
18522,0.196,0.804,0.0,-0.296
270,0.264,0.577,0.159,-0.296
7628,0.18,0.82,0.0,-0.296
9599,0.265,0.735,0.0,-0.516
11234,0.0,1.0,0.0,0.0
8071,0.0,1.0,0.0,0.0
6921,0.0,0.7,0.3,0.4588
14878,0.38,0.62,0.0,-0.6283
1560,0.0,1.0,0.0,0.0
13064,0.0,0.763,0.237,0.4215
15262,0.196,0.804,0.0,-0.296
6587,0.237,0.763,0.0,-0.4201
11084,0.169,0.562,0.269,0.1531
20663,0.0,1.0,0.0,0.0
13705,0.18,0.82,0.0,-0.296
20185,0.512,0.488,0.0,-0.8126
20770,0.231,0.769,0.0,-0.6723
20860,0.0,1.0,0.0,0.0
5327,0.0,0.719,0.281,0.5994
12539,0.215,0.604,0.181,-0.128
10731,0.174,0.826,0.0,-0.2263
23108,0.0,0.579,0.421,0.6249
16911,0.0,0.721,0.279,0.4767
16473,0.508,0.492,0.0,-0.8029
7277,0.0,1.0,0.0,0.0
12525,0.0,0.696,0.304,0.5423
436,0.367,0.633,0.0,-0.7964
4331,0.153,0.714,0.133,-0.1027
2559,0.0,1.0,0.0,0.0
3446,0.0,1.0,0.0,0.0
6944,0.0,0.851,0.149,0.2732
9640,0.193,0.642,0.165,-0.0772
8326,0.0,0.654,0.346,0.5719
10290,0.0,0.714,0.286,0.5574
6912,0.195,0.805,0.0,-0.5622
14176,0.161,0.839,0.0,-0.4003
4159,0.0,1.0,0.0,0.0
15094,0.206,0.794,0.0,-0.3818
5522,0.209,0.791,0.0,-0.4404
4409,0.171,0.57,0.259,0.368
12068,0.0,1.0,0.0,0.0
11158,0.246,0.754,0.0,-0.6027
7212,0.0,0.854,0.146,0.34
21195,0.0,0.784,0.216,0.296
3938,0.342,0.489,0.17,-0.4261
8626,0.498,0.502,0.0,-0.873
6747,0.146,0.854,0.0,-0.0516
18375,0.181,0.674,0.145,0.0343
7990,0.255,0.745,0.0,-0.34
15124,0.0,0.612,0.388,0.6908
6449,0.0,1.0,0.0,0.0
8843,0.0,1.0,0.0,0.0
20691,0.189,0.811,0.0,-0.2732
13340,0.0,1.0,0.0,0.0
7556,0.543,0.457,0.0,-0.8176
19125,0.0,0.856,0.144,0.5473
6604,0.0,0.696,0.304,0.5423
14370,0.0,1.0,0.0,0.0
3060,0.191,0.669,0.14,-0.2103
4034,0.0,1.0,0.0,0.0
1686,0.418,0.482,0.101,-0.8038
2241,0.576,0.424,0.0,-0.7783
12177,0.302,0.698,0.0,-0.5994
1171,0.0,0.625,0.375,0.7184
14427,0.0,1.0,0.0,0.0
3349,0.0,1.0,0.0,0.0
17512,0.0,1.0,0.0,0.0
3674,0.182,0.818,0.0,-0.4404
11298,0.468,0.532,0.0,-0.5267
13544,0.0,1.0,0.0,0.0
17488,0.0,0.769,0.231,0.4019
17076,0.0,1.0,0.0,0.0
6937,0.0,0.661,0.339,0.4767
10873,0.196,0.804,0.0,-0.296
21297,0.204,0.796,0.0,-0.516
22799,0.18,0.82,0.0,-0.296
1061,0.256,0.744,0.0,-0.4767
2990,0.375,0.417,0.208,-0.0516
6348,0.278,0.722,0.0,-0.4019
19441,0.0,1.0,0.0,0.0
20549,0.254,0.746,0.0,-0.6633
21402,0.0,0.73,0.27,0.5719
11546,0.0,0.855,0.145,0.296
17006,0.385,0.615,0.0,-0.6124
2675,0.0,1.0,0.0,0.0
2447,0.0,1.0,0.0,0.0
698,0.0,0.548,0.452,0.6808
18296,0.18,0.574,0.246,0.2023
1276,0.237,0.763,0.0,-0.5766
2913,0.0,1.0,0.0,0.0
19443,0.0,0.792,0.208,0.7592
5927,0.252,0.748,0.0,-0.4019
6407,0.0,1.0,0.0,0.0
7922,0.297,0.703,0.0,-0.6408
2884,0.323,0.677,0.0,-0.8442
15505,0.274,0.726,0.0,-0.5267
5610,0.181,0.619,0.2,0.1111
7599,0.252,0.748,0.0,-0.4019
6369,0.224,0.776,0.0,-0.3818
13095,0.536,0.464,0.0,-0.7964
22850,0.0,0.847,0.153,0.2023
21512,0.329,0.671,0.0,-0.6597
3019,0.211,0.789,0.0,-0.6124
